tid	index	output	input
470039522211008512	2428	"['@_queencliffordx', ""i'm"", 'friends', 'with', 'grecia', 'i', 'know', 'this']"	['@_queencliffordx', 'im', 'friends', 'with', 'grecia', 'I', 'know', 'this']
469819040219664384	2429	"['@iisuperwomanii', 'i', 'just', 'love', 'the', 'way', 'you', 'are', ',', 'your', 'fun', 'personality', 'and', 'how', 'you', ""aren't"", 'afraid', 'to', 'express', 'yourself', 'so', 'openly', 'on', 'youtube']"	['@IISuperwomanII', 'I', 'just', 'love', 'the', 'way', 'u', 'are', ',', 'your', 'fun', 'personality', 'and', 'how', 'u', 'arent', 'afraid', 'to', 'express', 'yourself', 'so', 'openly', 'on', 'youtube']
471140153704996865	2434	['#amazon', 'usa', ':', 'spalding', 'nba', 'street', '#basketball', 'by', 'spalding', 'http://t.co/eybuqyi0ms']	['#Amazon', 'USA', ':', 'Spalding', 'NBA', 'Street', '#Basketball', 'by', 'Spalding', 'http://t.co/eybuQyI0ms']
472206190580350976	2436	"['@graemeforsyth', 'haha', ""i'm"", 'only', 'doing', 'this', 'to', 'piss', 'off', 'everyone', 'on', 'my', 'timeline']"	['@GraemeForsyth', 'haha', 'im', 'ony', 'doing', 'this', 'to', 'piss', 'off', 'everyone', 'on', 'my', 'tl']
470222872003096577	2437	"['rt', '@sebyul', ':', '<', 'haru', 'hana', '>', 'q', ':', 'something', 'you', ""can't"", 'do', 'despite', 'being', 'the', 'golden', 'maknae', '?', 'jeongguk', ':', 'i', ""can't"", 'talk', '.', 'and', 'studying', '(', 'laughs', ')']"	"['RT', '@sebyul', ':', '<', 'Haru', 'Hana', '>', 'Q', ':', 'Something', 'you', ""can't"", 'do', 'despite', 'being', 'the', 'golden', 'maknae', '?', 'Jeongguk', ':', 'I', ""can't"", 'talk', '.', 'And', 'studying', '(', 'laughs', ')']"
469978360865517568	2438	['#2', ':', 'dremel', 'sm844', 'crown', 'molding', 'guide', ':', 'dremel', 'sm844', 'crown', 'molding', 'guide', 'by', 'dremel', '(', '1)buy', 'new', ':', '$26.99', '$22.26', '4', '...', 'http://t.co/jlixvido8d']	['#2', ':', 'Dremel', 'SM844', 'Crown', 'Molding', 'Guide', ':', 'Dremel', 'SM844', 'Crown', 'Molding', 'Guide', 'by', 'Dremel', '(', '1)Buy', 'new', ':', '$26.99', '$22.26', '4', '...', 'http://t.co/JlIxviDO8D']
470327905755873280	2441	['conor', 'keelan', '(', 'ff', ')', 'polling', 'sixth', 'with', '737', 'first', 'preference', 'votes', 'in', 'dundalk-carlingford', '#le14', '#louth']	['Conor', 'Keelan', '(', 'FF', ')', 'polling', 'sixth', 'with', '737', 'first', 'preference', 'votes', 'in', 'Dundalk-Carlingford', '#Le14', '#Louth']
471405195977842690	2442	['rt', '@plssmalik', ':', '#1dnewsongiwillsurvive', 'eu', 'amo', 'vcs', ',', 'eu', 'amo', 'esse', 'fandom', ',', 'mim', 'beiji', 'directionas']	['RT', '@plssmalik', ':', '#1DNewSongIWillSurvive', 'EU', 'AMO', 'VCS', ',', 'EU', 'AMO', 'ESSE', 'FANDOM', ',', 'MIM', 'BEIJI', 'DIRECTIONAS']
471600545665265664	2446	"['investissement', 'a', 'cape', 'coral', '|', 'murs', ""'"", 'chinois', ""'"", '|', 'chinese', 'drywall', ':', 'http://t.co/ffsbrpb2x3', 'via', '@youtube']"	"['Investissement', 'a', 'Cape', 'Coral', '|', 'Murs', ""'"", 'chinois', ""'"", '|', 'Chinese', 'drywall', ':', 'http://t.co/FFsbrPB2x3', 'via', '@YouTube']"
471409713251233792	2448	['@creatiinggfx', '@scorestreakshq1', 'alright', 'like', '10$', 'of', 'what', 'nigger', '<3']	['@CreatiingGFX', '@ScorestreaksHQ1', 'ight', 'like', '10$', 'of', 'what', 'nigga', '<3']
471884147724517376	2451	['@jpaulinel', 'heheheh', 'miss', 'you', 'ate', 'jean', '!!']	['@jpaulinel', 'heheheh', 'miss', 'youu', 'Ate', 'Jean', '!!']
470354589930512384	2453	['you', 'got', 'me', 'feeling', 'brand', 'new', 'wolfnsheepclothing140', 'http://t.co/azde27cbhd']	['U', 'got', 'me', 'feelin', 'brand', 'new', 'wolfnsheepclothing140', 'http://t.co/AzDe27cBHd']
472032525447999488	2454	"['rt', '@dxoxoluhandeer', ':', ""i'm"", 'eating', 'cadbury', 'right', 'now', 'haha', 'xd']"	['RT', '@dxoxoluhandeer', ':', 'Im', 'eating', 'cadbury', 'right', 'now', 'haha', 'xD']
471384258008080384	2456	['galeris', 'use', 'a', 'tag', 'and', 'custand', 'nd', '#wmajustinbieber']	['Galeris', 'usa', 'a', 'tag', 'n', 'custa', 'nd', '#WMAJustinBieber']
470952081096859648	2457	['rt', '@mentalbreakdawn', ':', 'taeminho', 'lighstick', 'has', 'arrived', '^^', 'thank you', '@2minshipperindo', '@tmncy95', '@minflames', 'http://t.co/h031oliqsv']	['RT', '@MentalBreakdawn', ':', 'TAEMINHO', 'lighstick', 'has', 'arrived', '^^', 'thankU', '@2MinShipperIndo', '@tmncy95', '@minflames', 'http://t.co/H031OLiQSv']
471056926118526976	2458	"['""', '@imgooby', ':', 'zoom', 'in', 'to', 'see', 'an', 'secret', 'message', 'http://t.co/wahejeh987', '""', '@emilydavison196', '@carolinemckiben', 'you', 'will', 'appreciate', 'this', '!', '#urafegit']"	"['""', '@imgooby', ':', 'zoom', 'in', '2', 'c', 'an', 'sekret', 'mesage', 'http://t.co/WaHEJeh987', '""', '@EmilyDavison196', '@CarolineMckiben', 'you', 'will', 'appreciate', 'this', '!', '#urafegit']"
470017372074819584	2459	"['you', 'know', 'that', 'that', ""ain't"", 'a', 'bad', 'bitch', ',', ""that's"", 'a', 'knock', 'off']"	['you', 'kno', 'dat', 'that', 'aint', 'a', 'bad', 'bitch', ',', 'dats', 'a', 'knock', 'off']
472015563670036481	2460	['#job', '#omaha', 'receptionist', 'florence', 'clinic', 'ft', ':', 'omaha', 'alegent', 'creighton', 'health', 'is', 'the', 'largest', 'not-for-profit', ',', 'fai', '...', 'http://t.co/2mehl04rr8']	['#Job', '#Omaha', 'Receptionist', 'Florence', 'Clinic', 'FT', ':', 'Omaha', 'Alegent', 'creighton', 'health', 'is', 'the', 'largest', 'not-for-profit', ',', 'fai', '...', 'http://t.co/2MeHL04RR8']
471718086853156864	2462	['srk', 'with', 'salmann', 'khann', '.', 'ouch', '!', 'so', 'handsome']	['SRK', 'with', 'Salmann', 'Khann', '.', 'Auchhh', '!', 'Shoo', 'handsome']
470982724707418113	2463	['southbound', 'between', 'a47', 'near', 'hinckley', '(', 'west', ')', 'and', 'a47', 'near', 'hinckley', '(', 'east', ')', 'so', '-', 'so', '.', 'on', 'the', 'a5', 'from', 'cannock', 'towards', 'har-', 'http://t.co/xcwo5xdivj']	['southbound', 'between', 'A47', 'near', 'Hinckley', '(', 'west', ')', 'and', 'A47', 'near', 'Hinckley', '(', 'east', ')', 'So', '-', 'So', '.', 'On', 'the', 'A5', 'from', 'Cannock', 'towards', 'Har-', 'http://t.co/XCwo5xDivj']
470932208497491968	2465	"['rt', '@1dalert', ':', 'guys', 'that', 'picture', 'of', 'zayn', 'is', 'old', '!!', 'and', 'also', 'you', 'can', 'see', 'niall', 'standing', 'next', 'to', 'him', 'like', 'he', ""wouldn't"", 'be', 'in', 'the', 'crowd', 'haha']"	"['RT', '@1DAlert', ':', 'Guys', 'that', 'picture', 'of', 'Zayn', 'is', 'old', '!!', 'And', 'also', 'you', 'can', 'see', 'Niall', 'standing', 'next', 'to', 'him', 'like', 'he', ""wouldn't"", 'be', 'in', 'the', 'crowd', 'haha']"
471874366615986177	2466	"[""i'm"", 'in', 'a', 'good', 'mood', 'right', 'now', 'just', 'because', 'this', 'music', '.']"	['Im', 'in', 'a', 'good', 'mood', 'right', 'now', 'just', 'cus', 'this', 'music', '.']
471988917252947969	2471	['laughing out loud', 'rt', '@fanzorro', ':', 'wait', '..', 'how', ',', 'in fact', ',', 'why', 'do', 'you', 'know', 'this', '??', 'rt', '@yung_btee', ':', 'most', 'zulu', 'nikkas', 'got', 'fore', 'skin', 'and', 'they', 'smell', '...']	['LOL', 'RT', '@FanZoRRo', ':', 'Wait', '..', 'How', ',', 'infact', ',', 'WHY', 'do', 'you', 'know', 'this', '??', 'RT', '@Yung_btee', ':', 'Most', 'Zulu', 'nikkas', 'got', 'fore', 'skin', 'and', 'they', 'smell', '...']
470894979867738112	2474	['rt', '@_1dslovakia', ':', '#new', '|', 'niall', 'on', 'stage', 'at', 'croke', 'park', ',', 'dublin', '-', '24.05.2014', '(', '30', ')', 'http://t.co/ejy8zdiui8']	['RT', '@_1DSlovakia', ':', '#NEW', '|', 'Niall', 'on', 'stage', 'at', 'Croke', 'Park', ',', 'Dublin', '-', '24.05.2014', '(', '30', ')', 'http://t.co/EJy8ZdIui8']
470973107155795969	2476	"['rt', '@horantitties', ':', 'harrys', 'reaction', 'when', 'they', 'let', 'him', 'play', ""he's"", 'so', 'cute', 'oh my god', '#teamniall', 'http://t.co/cljucr0rrh']"	['RT', '@horantitties', ':', 'HARRYS', 'REACTION', 'WHEN', 'THEY', 'LET', 'HIM', 'PLAY', 'HES', 'SO', 'CUTE', 'OMG', '#TeamNiall', 'http://t.co/CLjUCR0rrh']
471139050599247873	2477	['they', 'expect', 'me', 'to', 'drive', 'to', 'california', 'for', 'court', 'just', 'for', 'a', 'back', 'seatbelt', 'ticket', '?', 'fuck', 'that']	['They', 'expect', 'me', 'to', 'drive', 'to', 'California', 'for', 'court', 'just', 'for', 'a', 'back', 'seatbelt', 'ticket', '?', 'Fuhh', 'thattt']
470924977525784578	2483	['@vilde_hr', 'i', 'literally', 'love', 'you', 'oh my fucking god', 'you', 'just', 'made', 'my', 'whole', 'day', 'complete']	['@vilde_hr', 'I', 'literally', 'love', 'you', 'omfg', 'u', 'just', 'made', 'my', 'whole', 'day', 'complete']
471847221097295872	2484	"['g', ""i'll"", 'stay', 'home', 'before', 'i', 'go', 'to', 'a', 'party', 'in', 'be', 'with', 'a', 'bunch', 'of', 'fake', 'mtfs']"	['G', 'ill', 'stay', 'home', 'b4', 'i', 'go', 'to', 'a', 'party', 'in', 'be', 'with', 'a', 'bunch', 'of', 'fake', 'mtfs']
471026563572846592	2485	['0r', '0h', '0e', '(', 'pss', ')', '|', 'cbs', '0', ',', 'pss', '0', '|', 'end', '1st', 'recap', '|', 'http://t.co/qkkmsjop1o']	['0R', '0H', '0E', '(', 'PSS', ')', '|', 'CBS', '0', ',', 'PSS', '0', '|', 'End', '1st', 'Recap', '|', 'http://t.co/qKkMSJoP1o']
471390239064211457	2486	['@arse2mouse', 'their', 'number', '8(cb', ')', 'havard', 'nordtveit', 'was', 'an', 'arsenal', 'youth', '&', 'reserve', 'player', '!', 'laughing out loud', '.']	['@arse2mouse', 'their', 'number', '8(CB', ')', 'Havard', 'Nordtveit', 'was', 'an', 'Arsenal', 'youth', '&', 'reserve', 'player', '!', 'LOL', '.']
470122280014860289	2487	['rt', '@bbcsporf', ':', 'exclusive', ':', 'footage', 'of', 'vincent', 'kompany', 'going', 'up', 'to', 'yaya', 'toure', 'after', 'telling', 'him', 'he', 'was', 'leaving', '.', 'https://t.co/wxa0klstoh']	['RT', '@BBCSporf', ':', 'EXCLUSIVE', ':', 'Footage', 'of', 'Vincent', 'Kompany', 'going', 'up', 'to', 'Yaya', 'Toure', 'after', 'telling', 'him', 'he', 'was', 'leaving', '.', 'https://t.co/wxA0klSTOh']
471665523827412993	2491	"['now', 'streaming', 'shakira', 'feat', 'residente', 'of', 'calle', '-', 'gordita', 'on', 'http://t.co/a2v5jttvzj', ""ct/ma's"", '#1', 'nightlife', 'website']"	"['Now', 'Streaming', 'Shakira', 'feat', 'Residente', 'of', 'Calle', '-', 'Gordita', 'on', 'http://t.co/A2V5JTTVzj', ""CT/MA's"", '#1', 'Nightlife', 'Website']"
471432819676545026	2492	"['@safiasharif_xox', 'what the fuck', ""i've"", 'only', 'just', 'seen', 'this', 'oh my god']"	"['@safiasharif_xox', 'wtf', ""I've"", 'only', 'just', 'seen', 'this', 'omg']"
472183100944830464	2493	['weaver', 'has', 'more', 'blocks', 'than', 'lundquist', 'has', 'saves', '.', 'ha', '!', 'love', 'rds', '.']	['Weaver', 'has', 'more', 'blocks', 'than', 'Lundquist', 'has', 'saves', '.', 'Ha', '!', 'Love', 'RDS', '.']
471270898553868290	2494	"['john', 'mayer', '""', 'xo', '(', 'beyonce', 'cover', ')', '""', '(', 'new', 'music', ')', '-', 'http://t.co/dpwsakocj2']"	"['John', 'Mayer', '""', 'XO', '(', 'Beyonce', 'Cover', ')', '""', '(', 'NEW', 'MUSIC', ')', '-', 'http://t.co/dPWSakOcJ2']"
471937922917474304	2495	['adore', 'you', '(', 'remix', ')', '-', 'miley', 'cyrus', '&', 'cedric', 'gervais']	['Adore', 'You', '(', 'Remix', ')', '-', 'Miley', 'Cyrus', '&', 'Cedric', 'Gervais']
471036944483647488	2496	"['rt', '@bootygangcult', ':', 'mom', ':', ""let's"", 'watch', 'blues', 'clues', 'son', ':', 'you', 'gonna', 'have', 'to', 'kill', 'me', 'first', 'http://t.co/pwarsyqezv']"	"['RT', '@BootyGangCult', ':', 'Mom', ':', ""let's"", 'watch', 'blues', 'clues', 'Son', ':', 'u', 'gon', 'have', 'to', 'kill', 'me', 'first', 'http://t.co/pWarSyqeZv']"
471553376556036096	2497	['rt', '@jason_om', ':', 'poll', 'which', 'would', 'you', 'cut', '?', '@qanda', 'v', 'peppa', 'pig', 'via', '@theheraldsun', '#auspol', '#abc', 'http://t.co/chaadb09aq']	['RT', '@jason_om', ':', 'POLL', 'Which', 'would', 'you', 'cut', '?', '@qanda', 'v', 'Peppa', 'Pig', 'via', '@theheraldsun', '#auspol', '#abc', 'http://t.co/chAaDb09aq']
471622209278967809	2498	"['eeak', 'meen', 'lyshaa', ':d', 'rt', '""', '@alyshays', ':', 'keep', 'save', 'this', 'relationship', ':)', '""']"	"['eeak', 'meen', 'lyshaa', ':D', 'RT', '""', '@alyshays', ':', 'Keep', 'save', 'this', 'relationship', ':)', '""']"
471783048254873600	2500	['seeing', 'old', 'dog', 'again', 'was', 'good']	"['Seeing', 'Oll', 'Dogg', 'again', 'was', ""good'o""]"
470053287899574272	2501	['rt', '@5sos_daily', ':', 'luke', 'today', '(', 'via', 'kylie', 'g', ',', 'stylist', ')', 'http://t.co/5glsteqxcf']	['RT', '@5SOS_Daily', ':', 'Luke', 'today', '(', 'via', 'Kylie', 'G', ',', 'stylist', ')', 'http://t.co/5GlstEQxCf']
472174972408823808	2506	['rt', '@lyeolnam', ':', '[', 'please', 'rt', ']', 'have', 'sungjong', 'last', 'romeo', 'card', ',', 'want', 'seongyeol', 'or', 'myungsoo', 'card', '(', 'sg', 'only', ')']	['RT', '@LYeolNam', ':', '[', 'PLS', 'RT', ']', 'Have', 'SungJong', 'last', 'romeo', 'card', ',', 'want', 'SeongYeol', 'or', 'MyungSoo', 'card', '(', 'SG', 'only', ')']
469933465031688192	2507	['rt', '@hemmings_taco', ':', 'rt', 'for', 'a', 'direct message', 'to', 'luke', 'hemmings', '(', 'must be following', 'because', 'i', 'actually', 'do', 'them', ')', 'http://t.co/pvxsqk1cva']	['RT', '@hemmings_taco', ':', 'RT', 'FOR', 'A', 'DM', 'TO', 'LUKE', 'HEMMINGS', '(', 'Mbf', 'bc', 'I', 'actually', 'do', 'them', ')', 'http://t.co/pvxSqK1CVA']
470694857020022784	2508	"['""', '@pragarassongs', ':', '""', 'christian', 'pace', '""', 'pt', '.', '26', 'amore', 'hai', 'vinto', 'tu', '.', '#amici13', 'http://t.co/nviyl66x8m', '""']"	"['""', '@pragarassongs', ':', '""', 'Christian', 'Pace', '""', 'pt', '.', '26', 'Amore', 'hai', 'vinto', 'tu', '.', '#Amici13', 'http://t.co/NVIYl66x8m', '""']"
471114287424217089	2514	"['@markennis', 'dan', 'is', 'a', 'kcu', 'alum', ';', 'has', 'other', '""', 'funny', '""', 'songs', 'like', 'this', '.', 'calls', 'himself', 'white boy', 'dj', '.', 'laughing out loud']"	"['@MarkEnnis', 'Dan', 'is', 'a', 'KCU', 'alum', ';', 'has', 'other', '""', 'funny', '""', 'songs', 'like', 'this', '.', 'Calls', 'himself', 'whiteboy', 'dj', '.', 'Lol']"
470632592593920000	2515	['@miketokes', 'sorry', 'about', 'the', 'wait', 'homie', 'but', 'check', 'your', 'direct messages', 'when', 'you', 'get', 'the', 'chance', '!']	['@MikeTokes', 'sorry', 'bout', 'the', 'wait', 'homie', 'but', 'check', 'your', 'dms', 'when', 'you', 'get', 'the', 'chance', '!']
469874509886291968	2516	"['guess', 'who', ""i'm"", 'cosplaying', '(', ""it's"", 'shit', 'but', 'still', ')', 'as', 'at', 'comicon', '???']"	"['Guess', 'who', ""I'm"", 'cosplaying', '(', ""it's"", 'shit', 'but', 'still', ')', 'as', 'at', 'comicon', '???']"
469721539412492288	2518	"['@tt_shake', 'or', 'you', 'can', 'just', 'wear', 'a', 'condom', 'and', 'you', ""don't"", 'have', 'to', 'worry', 'about', 'pulling', 'out']"	"['@tt_Shake', 'or', 'u', 'can', 'just', 'wear', 'a', 'condom', 'and', 'u', ""don't"", 'have', 'to', 'worry', 'about', 'pullin', 'out']"
470568763654275072	2521	"['@mika90628', 'wow', '!!!!', 'i', 'know', 'this', 'song', ',', 'oppa', '.', 'one', 'of', 'my', 'favorite', 'songs', ',', '""', 'asu', 'wa', 'kuru', 'kara', '""', '.']"	"['@Mika90628', 'Woah', '!!!!', 'I', 'know', 'this', 'song', ',', 'Oppa', '.', 'One', 'of', 'my', 'favourite', 'songs', ',', '""', 'Asu', 'wa', 'kuru', 'kara', '""', '.']"
470911895491207169	2525	['@ashley_twt', 'jimin', ':', 'is', 'it', 'okay', 'if', 'i', 'asked', 'for', '2', 'angpaos', 'jungkook', ':', 'does', 'this', 'look', 'make', 'aunty', 'and', 'uncle', 'happy', 'for', 'bigger', 'angpao']	['@ashley_twt', 'jimin', ':', 'is', 'it', 'okay', 'if', 'i', 'asked', 'for', '2', 'angpaos', 'jungkook', ':', 'does', 'this', 'look', 'make', 'aunty', 'and', 'uncle', 'happy', 'for', 'bigger', 'angpao']
469721593959022593	2526	['alpukat', 'madu', '..', 'yummy', '..', 'manis', 'banget', '..', 'i', 'like', 'this']	['Alpukat', 'madu', '..', 'Yummy', '..', 'Manis', 'banget', '..', 'I', 'like', 'this']
472120312226938881	2533	['to', 'wrap', 'up', 'our', 'month', 'of', 'moscato', ',', 'host', 'a', 'moscato', 'tasting', 'party', '!', '#socialhour', 'http://t.co/gd2czn6cki', 'http://t.co/yonfydyojb']	['To', 'wrap', 'up', 'our', 'month', 'of', 'Moscato', ',', 'host', 'a', 'Moscato', 'tasting', 'party', '!', '#SocialHour', 'http://t.co/GD2cZn6ckI', 'http://t.co/yOnFydYOJB']
470958401938137089	2535	['@minquannn', 'haha', 'mq', 'please', 'as', 'easy', 'as', 'doto', 'for', 'me', '#feedforlife']	['@minquannn', 'Haha', 'mq', 'pls', 'as', 'easy', 'as', 'doto', 'for', 'me', '#feedforlife']
471334823941132288	2541	['rt', '@greatamerrest', ':', 'now', 'on', 'tap', '@sweetwater_gar', 'centreville', '.', 'chipotle', 'porter', '.']	['RT', '@GreatAmerRest', ':', 'Now', 'on', 'tap', '@Sweetwater_gar', 'Centreville', '.', 'Chipotle', 'Porter', '.']
471426935029903360	2545	"['rt', '@thevampsrob', ':', ""y'all"", 'so', 'worried', 'about', 'the', 'fact', 'zayn', 'was', 'smoking', 'weed', 'he', ""wasn't"", 'even', 'wearing', 'a', 'seat', 'belt']"	['RT', '@thevampsrob', ':', 'yall', 'so', 'worried', 'about', 'the', 'fact', 'zayn', 'was', 'smoking', 'weed', 'HE', 'WASNT', 'EVEN', 'WEARING', 'A', 'SEAT', 'BELT']
471399328129769473	2546	['rt', '@bhadoosky', ':', 'eminado', 'means', 'good luck', ',', 'surulere', 'means', 'patience', ',', '@donjazzy', 'must', 'be', 'related', 'to', 'our', 'president', '.']	['RT', '@Bhadoosky', ':', 'Eminado', 'means', 'GOODLUCK', ',', 'Surulere', 'means', 'PATIENCE', ',', '@DONJAZZY', 'must', 'be', 'related', 'to', 'Our', 'president', '.']
472186343150190592	2548	['rt', '@worldstarfunny', ':', 'this', 'little', 'nigger', 'did', '10', 'years', 'in', 'timeout', 'http://t.co/bswqzqespg']	['RT', '@WorldStarFunny', ':', 'This', 'lil', 'nigga', 'did', '10', 'years', 'in', 'timeout', 'http://t.co/bSWqzqEsPG']
471867768988790784	2550	['oh my god', 'this', 'mango', 'is', 'some', 'fucking', 'kill']	['OMG', 'THIS', 'MANGO', 'IS', 'SOME', 'FUCKN', 'KILL']
469903446393368577	2552	['real', 'bjp', 'supporters', 'would', 'be', 'delighted', ':', 'https://t.co/k06cqv8mqc', 'shourie', 'ji', 'putting', '@swapan55', 'in', 'his', 'place', '.', '@sarkar_swati', '@sandeepweb']	['Real', 'BJP', 'supporters', 'would', 'be', 'delighted', ':', 'https://t.co/k06CQv8mqC', 'Shourie', 'ji', 'putting', '@swapan55', 'in', 'his', 'place', '.', '@sarkar_swati', '@SandeepWeb']
471058016637550593	2553	"['@lisyopenmind', '@potteralda', '@purrlcat', 'angy', 'knows', ',', ""she's"", 'met', 'my', 'jake', '.', 'a', 'badboy', 'with', 'a', 'temper', '....', 'raaaaar', '!']"	"['@LisyOpenmind', '@potteralda', '@Purrlcat', 'Angy', 'knows', ',', ""she's"", 'met', 'my', 'Jake', '.', 'A', 'badboy', 'with', 'a', 'temper', '....', 'Raaaaar', '!']"
470072799814356993	2554	"['""', 'i', 'just', 'got', '4', 'sugar', 'daddies', 'online', '""', '-me', '""', 'you', 'go', 'girl', '!', '""', '-dad']"	"['""', 'I', 'just', 'got', '4', 'sugar', 'daddies', 'online', '""', '-me', '""', 'U', 'GO', 'GURL', '!', '""', '-dad']"
472107255341789184	2558	"['rt', '@bradieboolove', ':', 'this', 'graduation', 'rehearsal', 'is', 'taking', 'forever', '!', 'thank', 'goodness', ""i'm"", 'texting', '@onlyonesnacks', 'so', 'i', 'have', 'some', 'of', 'my', 'sanity', '!!!']"	['RT', '@BradieBoolove', ':', 'This', 'graduation', 'rehersal', 'is', 'takin', 'forever', '!', 'Thank', 'goodness', 'im', 'textin', '@ONLYONESNACKS', 'so', 'i', 'have', 'some', 'of', 'my', 'sanity', '!!!']
471966511301943296	2561	"['@coelasquid', 'i', 'believe', 'the', 'term', 'for', 'male', 'ballerina', 'is', '""', 'ballerino', '.', '""', 'like', 'the', 'pokemon', '.']"	"['@Coelasquid', 'I', 'believe', 'the', 'term', 'for', 'male', 'ballerina', 'is', '""', 'Ballerino', '.', '""', 'Like', 'the', 'pokemon', '.']"
